ym,tp_30y,tp_40y
2022-05,0.4347232452803783,0.4393055770825038
2022-06,0.5549949175809649,0.573526806897159
2022-07,0.5500267693515362,0.5916770632044849
2022-08,0.5199413454954351,0.5348513981883863
2022-09,0.6314792714970048,0.6872579076102647
2022-10,0.6645100848635295,0.7055843721253134
2022-11,0.7128582239761119,0.7819547999319225
2022-12,0.7730335337745552,0.8412519851872615
2023-01,0.8397032937771369,0.8543224496109475
2023-02,0.5824502258516087,0.5252545289647973
2023-03,0.4838763463054465,0.4581881112971733
2023-04,0.5055708645979222,0.4864152633001384
2023-05,0.4958375423638922,0.5467566988357206
2023-06,0.4875176947971367,0.5378597974388539
2023-07,0.6425913505859139,0.6990509879060106
2023-08,0.7368338602567087,0.7911948678896243
2023-09,0.7387204603418276,0.7744949017150102
2023-10,0.9260625203300256,0.9079941469983082
2023-11,0.7313052289245487,0.7699163462464684
2023-12,0.7644724169495447,0.7929057716400776
2024-01,0.8377269714074347,0.8687643915828529
2024-02,0.7655881150207178,0.7957475114109056
2024-03,0.8245545787741861,0.8819571306145333
2024-04,0.921036980400777,0.9685833218124866
2024-05,1.0809771308367655,1.3308462689630152
2024-06,1.0857769286822516,1.341567702348657
2024-07,1.1019359297239244,1.3731384649516858
2024-08,1.056838184478843,1.3564827801525228
2024-09,1.0199582229519415,1.3441034696148626
2024-10,1.0620680840056704,1.4648138291379635
2024-11,1.0967336216265935,1.5223719833878804
2024-12,1.1038209732998907,1.4974783060957393
2025-01,1.0707822887371106,1.428180275944523
2025-02,1.0752666523212473,1.3963320889448272
2025-03,1.2054160416164266,1.401545031980404
2025-04,1.3244982620325652,1.6465731518086504
2025-05,1.528804090190365,2.051756082563368
2025-06,1.4760238691252163,2.0492861624773417
2025-07,1.634841317551441,2.2128335064974918
2025-08,1.6710214786511743,2.184342790002282
2025-09,1.5815720772321464,2.0538027468435383
2025-10,1.605298835033757,2.003212084367899
2025-11,1.7642563716581987,2.235664000267823
2025-12,1.7458975176765243,1.944178887697578
2026-01,1.9381260856617004,2.1087802699515232
2026-02,1.7235801951009084,1.864532005810988
2026-03,1.9539431484036147,2.052924773060131
2026-04,1.973688246512363,1.9833974101191492
2026-05,2.06334147232321,1.8979180183510012
2026-06,2.0782025854432686,1.86281203559315
2026-07,2.0697493324820315,1.875651801217124
